0,시도명,시군구명,시설명,상세주소,시설면적,경도,위도,구분,구분명
1,서울특별시,동작구,동작고등학교 운동장,서울특별시 동작구 솔밭로 51(사당동),3246,126.9655,37.482,1,지진실내구호소
2,서울특별시,동작구,동작초등학교 운동장,서울특별시 동작구 동작대로29길 214(사당동),2763,126.9768,37.494,1,지진실내구호소
3,서울특별시,도봉구,창림초등학교 운동장,서울특별시 도봉구 덕릉로63길 46(창동),2584,127.0417,37.6431,1,지진실내구호소
4,서울특별시,도봉구,창원초등학교 운동장,서울특별시 도봉구 해등로 103(창동),2704,127.0407,37.6521,1,지진실내구호소
5,서울특별시,도봉구,창일중학교 운동장,서울특별시 도봉구 노해로66길 60(창동),4800,127.0471,37.6484,1,지진실내구호소
6,서울특별시,도봉구,갈대밭어린이공원,서울특별시 도봉구 도봉동 625-123,433,127.0457,37.6743,1,지진실내구호소
7,서울특별시,도봉구,누원어린이공원,서울특별시 도봉구 도봉동 653,400,127.05,37.6803,1,지진실내구호소
8,서울특별시,도봉구,무수어린이공원,서울특별시 도봉구 도봉동 585-2,350,127.0426,37.6805,1,지진실내구호소
9,서울특별시,도봉구,무지개어린이공원,서울특별시 도봉구 도봉동 570-13,385,127.045,37.6856,1,지진실내구호소
10,서울특별시,도봉구,새동네어린이공원,서울특별시 도봉구 도봉동 289-5,670,127.0431,37.6889,1,지진실내구호소
11,서울특별시,도봉구,서원어린이공원,서울특별시 도봉구 도봉동 576-13,355,127.0432,37.6838,1,지진실내구호소
12,서울특별시,도봉구,해태어린이공원,서울특별시 도봉구 도봉동 614-37,458,127.0411,37.672,1,지진실내구호소
13,서울특별시,도봉구,누원고등학교 운동장,서울특별시 도봉구 마들로 849(도봉동),400,127.0506,37.6849,1,지진실내구호소
14,서울특별시,도봉구,도봉중학교 운동장,서울특별시 도봉구 마들로 671(도봉동),3184,127.0455,37.6701,1,지진실내구호소
15,서울특별시,도봉구,북서울중학교 운동장,서울특별시 도봉구 도봉로169가길 33(도봉동),2029,127.043,37.6811,1,지진실내구호소
16,서울특별시,도봉구,오봉초등학교 운동장,서울특별시 도봉구 시루봉로 285(도봉동),1704,127.0404,37.6714,1,지진실내구호소
17,서울특별시,노원구,한내근린공원,서울특별시 노원구 월계동 1-1,1740,127.0694,37.6221,1,지진실내구호소
18,서울특별시,노원구,광운전자공업고등학교 운동장,서울특별시 노원구 월계동 500-0,9540,127.0561,37.6201,1,지진실내구호소
19,서울특별시,노원구,녹천중학교 운동장,서울특별시 노원구 월계로 376(월계동),4670,127.0623,37.631,1,지진실내구호소
20,서울특별시,노원구,녹천초등학교 운동장,서울특별시 노원구 마들로3길 34(월계동),2740,127.0635,37.6284,1,지진실내구호소
21,서울특별시,노원구,선곡초등학교 운동장,서울특별시 노원구 월계동 446-0,3400,127.058,37.6183,1,지진실내구호소
22,서울특별시,노원구,신계초등학교 운동장,서울특별시 노원구 월계동 602-0,3470,127.0532,37.6298,1,지진실내구호소
23,서울특별시,노원구,신창중학교 운동장,서울특별시 노원구 월계로45길 92(월계동),2540,127.0479,37.6282,1,지진실내구호소
24,서울특별시,노원구,연지초등학교 운동장,서울특별시 노원구 월계로55길 48(월계동),2020,127.0597,37.6332,1,지진실내구호소
25,서울특별시,노원구,월계고등학교 운동장,서울특별시 노원구 초안산로5길 66(월계동),1760,127.0489,37.6314,1,지진실내구호소
26,서울특별시,노원구,월계중학교 운동장,서울특별시 노원구 월계로45가길 54(월계동),4360,127.0517,37.6302,1,지진실내구호소
27,서울특별시,노원구,월계초등학교 운동장,서울특별시 노원구 월계로45가길 10(월계동),3950,127.0508,37.6275,1,지진실내구호소
28,서울특별시,노원구,한천초등학교 운동장,서울특별시 노원구 마들로 45(월계동),4430,127.069,37.6201,1,지진실내구호소
29,서울특별시,노원구,공릉중학교 운동장,서울특별시 노원구 노원로1길 42(공릉동),4590,127.0841,37.6218,1,지진실내구호소
30,서울특별시,노원구,공릉초등학교 운동장,서울특별시 노원구 공릉동 610-1,4540,127.0744,37.6189,1,지진실내구호소
31,서울특별시,노원구,공연초등학교 운동장,서울특별시 노원구 동일로192가길 16(공릉동),3800,127.0744,37.6269,1,지진실내구호소
32,서울특별시,노원구,용원초등학교 운동장,서울특별시 노원구 섬밭로 144(공릉동),3490,127.0691,37.6289,1,지진실내구호소
33,서울특별시,노원구,태랑중학교 운동장,서울특별시 노원구 화랑로51나길 51(공릉동),4870,127.0917,37.6265,1,지진실내구호소
34,서울특별시,노원구,태랑초등학교 운동장,서울특별시 노원구 화랑로51나길 31(공릉동),2020,127.0909,37.6258,1,지진실내구호소
35,서울특별시,노원구,태릉초등학교 운동장,서울특별시 노원구 노원로1길 36(공릉동),4630,127.0849,37.6224,1,지진실내구호소
36,서울특별시,노원구,한천중학교 운동장,서울특별시 노원구 공릉로 265(공릉동),3580,127.0728,37.6309,1,지진실내구호소
37,서울특별시,노원구,중현어린이공원,서울특별시 노원구 하계동 272-1,3780,127.0655,37.6318,1,지진실내구호소
38,서울특별시,노원구,하계어린이공원,서울특별시 노원구 하계동 273-3,1150,127.069,37.6322,1,지진실내구호소
39,서울특별시,노원구,경기기계공업고등학교 운동장,서울특별시 노원구 하계동 78-0,12900,127.0746,37.6314,1,지진실내구호소
40,서울특별시,노원구,불암중학교 운동장,서울특별시 노원구 한글비석로5길 45(하계동),3680,127.0738,37.6455,1,지진실내구호소
41,서울특별시,노원구,연촌초등학교 운동장,서울특별시 노원구 공릉로58길 36(하계동),3680,127.0731,37.6345,1,지진실내구호소
42,서울특별시,노원구,중평중학교 운동장,서울특별시 노원구 동일로203길 87(하계동),2870,127.0624,37.6366,1,지진실내구호소
43,서울특별시,노원구,중평초등학교 운동장,서울특별시 노원구 섬밭로 241(하계동),2660,127.0642,37.6372,1,지진실내구호소
44,서울특별시,노원구,중현초등학교 운동장,서울특별시 노원구 섬밭로 181(하계동),3220,127.0666,37.6319,1,지진실내구호소
45,서울특별시,노원구,하계중학교 운동장,서울특별시 노원구 노원로 261-8 (하계동),4890,127.0715,37.6407,1,지진실내구호소
46,서울특별시,노원구,혜성여자고등학교 운동장,서울특별시 노원구 하계동 산16-38,8880,127.074,37.6412,1,지진실내구호소
47,서울특별시,노원구,갈울근린공원,서울특별시 노원구 상계동 644-0,3200,127.061,37.6668,1,지진실내구호소
48,서울특별시,노원구,상계근린공원,서울특별시 노원구 상계동 620-0,4860,127.0508,37.6697,1,지진실내구호소
49,서울특별시,노원구,온수근린공원,서울특별시 노원구 상계동 686-0,550,127.0637,37.6609,1,지진실내구호소
50,서울특별시,노원구,계상초등학교 운동장,서울특별시 노원구 한글비석로41가길 24(상계동),4270,127.0676,37.663,1,지진실내구호소
51,서울특별시,노원구,노원고등학교 운동장,서울특별시 노원구 노원로 586(상계동),2930,127.0533,37.6622,1,지진실내구호소
52,서울특별시,노원구,노원중학교 운동장,서울특별시 노원구 동일로213길 26(상계동),2540,127.0598,37.649,1,지진실내구호소
53,서울특별시,노원구,노원초등학교 운동장,서울특별시 노원구 동일로230나길 32(상계동),4010,127.0582,37.6728,1,지진실내구호소
54,서울특별시,노원구,노일중학교 운동장,서울특별시 노원구 동일로231길 24(상계동),4580,127.0539,37.6728,1,지진실내구호소
55,서울특별시,노원구,노일초등학교 운동장,서울특별시 노원구 동일로 1625(상계동),2360,127.0547,37.673,1,지진실내구호소
56,서울특별시,노원구,당현초등학교 운동장,서울특별시 노원구 동일로213길 52(상계동),3580,127.0583,37.6485,1,지진실내구호소
57,서울특별시,노원구,덕암초등학교 운동장,서울특별시 노원구 상계동 1274-0,1790,127.0808,37.6663,1,지진실내구호소
58,서울특별시,노원구,동일초등학교 운동장,서울특별시 노원구 한글비석로 566(상계동),2380,127.0546,37.6648,1,지진실내구호소
59,서울특별시,노원구,상경중학교 운동장,서울특별시 노원구 동일로227길 61(상계동),3530,127.0535,37.6664,1,지진실내구호소
60,서울특별시,노원구,상경초등학교 운동장,서울특별시 노원구 수락산로 237(상계동),2660,127.0517,37.6701,1,지진실내구호소
61,서울특별시,노원구,상계중학교 운동장,서울특별시 노원구 상계동 195-5,7190,127.0689,37.6518,1,지진실내구호소
62,서울특별시,노원구,상계초등학교 운동장,서울특별시 노원구 상계동 402-1,1830,127.0659,37.659,1,지진실내구호소
63,서울특별시,노원구,상곡초등학교 운동장,서울특별시 노원구 노원로38길 34(상계동),2640,127.0623,37.6623,1,지진실내구호소
64,서울특별시,노원구,상수초등학교 운동장,서울특별시 노원구 동일로216길 66(상계동),2230,127.0648,37.6514,1,지진실내구호소
65,서울특별시,노원구,상원중학교 운동장,서울특별시 노원구 수락산로 182(상계동),2180,127.0594,37.6712,1,지진실내구호소
66,서울특별시,노원구,상원초등학교 운동장,서울특별시 노원구 한글비석로54길 119(상계동),3970,127.0602,37.6676,1,지진실내구호소
67,서울특별시,노원구,상월초등학교 운동장,서울특별시 노원구 동일로221길 27(상계동),4330,127.0572,37.6582,1,지진실내구호소
68,서울특별시,노원구,상천초등학교 운동장,서울특별시 노원구 덕릉로 443(상계동),3500,127.0578,37.6459,1,지진실내구호소
69,서울특별시,노원구,수락중학교 운동장,서울특별시 노원구 동일로 1729(상계동),4030,127.0545,37.6826,1,지진실내구호소
70,서울특별시,노원구,수락초등학교 운동장,서울특별시 노원구 동일로 1745(상계동),4930,127.0545,37.6837,1,지진실내구호소
71,서울특별시,노원구,신상계초등학교 운동장,서울특별시 노원구 상계로 267(상계동),2560,127.0761,37.6677,1,지진실내구호소
72,서울특별시,노원구,신상중학교 운동장,서울특별시 노원구 동일로216길 42(상계동),4220,127.0635,37.6511,1,지진실내구호소
73,서울특별시,노원구,온곡중학교 운동장,서울특별시 노원구 노원로 492(상계동),7090,127.0646,37.66,1,지진실내구호소
74,서울특별시,노원구,온곡초등학교 운동장,서울특별시 노원구 한글비석로52길 59(상계동),1580,127.0661,37.6673,1,지진실내구호소
75,서울특별시,노원구,용화여자고등학교 운동장,서울특별시 노원구 동일로 1461(상계동),3370,127.0585,37.6587,1,지진실내구호소
76,서울특별시,노원구,청원초등학교 운동장,서울특별시 노원구 한글비석로 506(상계동),3140,127.0613,37.6657,1,지진실내구호소
77,서울특별시,노원구,불암고등학교 운동장,서울특별시 노원구 중계로 155(중계동),3220,127.0801,37.6484,1,지진실내구호소
78,서울특별시,노원구,불암초등학교 운동장,서울특별시 노원구 중계로 178(중계동),2590,127.0801,37.651,1,지진실내구호소
79,서울특별시,노원구,상계제일중학교 운동장,서울특별시 노원구 중계동 132-0,3470,127.0773,37.6611,1,지진실내구호소
80,서울특별시,노원구,상명초등학교 운동장,서울특별시 노원구 덕릉로 541(중계동),1700,127.0675,37.6482,1,지진실내구호소
81,서울특별시,노원구,서라벌고등학교운동장,서울특별시 노원구 한글비석로5길 18(중계동),5010,127.0752,37.6451,1,지진실내구호소
82,서울특별시,노원구,수암초등학교 운동장,서울특별시 노원구 중계로12길 9(중계동),2700,127.0819,37.6477,1,지진실내구호소
83,서울특별시,노원구,영신여자고등학교 운동장,서울특별시 노원구 중계로16나길 13(중계동),2970,127.0829,37.652,1,지진실내구호소
84,서울특별시,노원구,용동초등학교 운동장,서울특별시 노원구 한글비석로1길 81-11 (중계동),3270,127.0694,37.6414,1,지진실내구호소
85,서울특별시,노원구,원광초등학교 운동장,서울특별시 노원구 중계동 359-0,2280,127.0748,37.6537,1,지진실내구호소
86,서울특별시,노원구,을지중학교 운동장,서울특별시 노원구 덕릉로 580(중계동),2950,127.0721,37.6501,1,지진실내구호소
87,서울특별시,노원구,을지초등학교 운동장,서울특별시 노원구 중계로 239(중계동),2910,127.0725,37.6506,1,지진실내구호소
